numer_sta;date;pmer;tend;cod_tend;dd;vitesse_vent;temperature;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;;Nom;Latitude;Longitude;Altitude;Region
07015;20130102210000;102780.0;10.0;3.0;210.0;6.7;280.55;279.65;94.0;8000.0;50.0;6.0;5.0;100.0;8.0;250.0;35.0;61.0;60.0;102200.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.8;-10.0;nan;nan;0.0;-30.0;0.0;0.2;nan;nan;nan;710.0;1110.0;3100.0;nan;5.0;7.0;210.0;7.0;6.0;390.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130103000000;102920.0;110.0;3.0;240.0;5.7;283.05;282.75;98.0;2100.0;51.0;nan;nan;nan;nan;nan;nan;nan;nan;102010.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.8;-10.0;nan;0.0;nan;nan;0.0;0.2;1.0;nan;nan;710.0;1110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130103000000;102820.0;40.0;3.0;210.0;5.1;280.85;280.45;97.0;3500.0;50.0;6.0;5.0;100.0;8.0;150.0;37.0;61.0;60.0;102240.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.3;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.2;nan;nan;710.0;1109.0;3100.0;nan;8.0;7.0;90.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130103030000;103020.0;100.0;3.0;270.0;6.2;283.55;283.25;98.0;6000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;102110.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.8;-10.0;nan;nan;nan;nan;0.0;0.0;nan;nan;nan;710.0;1111.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130103030000;102900.0;80.0;1.0;230.0;3.1;281.55;281.25;98.0;5000.0;0.0;nan;nan;100.0;8.0;80.0;36.0;61.0;60.0;102320.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1106.0;3100.0;nan;8.0;7.0;60.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130103060000;103170.0;150.0;2.0;260.0;4.6;283.35;283.05;98.0;4000.0;10.0;2.0;2.0;100.0;8.0;150.0;36.0;61.0;60.0;102260.0;nan;nan;nan;280.55;nan;283.65;nan;280.15;nan;nan;nan;8.7;-10.0;2.0;0.0;nan;nan;0.0;0.0;nan;1.0;1.2;710.0;1109.0;nan;nan;8.0;7.0;150.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130103060000;103040.0;140.0;3.0;240.0;3.1;283.25;282.95;98.0;7000.0;1.0;nan;nan;100.0;8.0;150.0;36.0;61.0;60.0;102460.0;nan;nan;nan;280.15;nan;283.25;nan;279.15;nan;nan;nan;5.7;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;nan;0.2;0.2;710.0;1106.0;3100.0;nan;8.0;7.0;150.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130103090000;103390.0;220.0;1.0;260.0;6.2;283.25;282.95;98.0;2500.0;50.0;5.0;2.0;100.0;8.0;150.0;37.0;61.0;60.0;102480.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;10.8;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1111.0;3100.0;nan;8.0;7.0;120.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
07015;20130103090000;103230.0;190.0;2.0;260.0;5.7;283.25;282.75;97.0;7000.0;2.0;1.0;1.0;100.0;8.0;150.0;36.0;61.0;60.0;102650.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.7;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1109.0;3100.0;nan;8.0;7.0;120.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France
07005;20130103120000;103520.0;130.0;1.0;260.0;5.7;283.35;283.15;99.0;2000.0;50.0;5.0;2.0;100.0;8.0;80.0;37.0;61.0;60.0;102610.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.8;-10.0;nan;nan;0.0;-60.0;0.2;0.2;0.2;nan;nan;710.0;1110.0;3100.0;nan;8.0;7.0;90.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France
