numer_sta;date;pmer;tend;cod_tend;dd;ff;t;vv;ww
07110;20130128090000;181.05142857143073;182.51285714285714;-2.34;40.96857142857141;0.08000000000000007;-3.7985714285714494;3614.465714285714;-11.59142857142857
07117;20130128090000;195.33714285714086;188.22714285714287;-2.0542857142857143;45.254285714285714;-0.06285714285714317;-3.912857142857149;2185.8942857142865;-11.59142857142857
07130;20130128090000;218.1942857142858;182.51285714285714;-2.34;43.82571428571427;0.22285714285714242;-3.9414285714285597;1043.0371428571416;-8.877142857142857
07139;20130128090000;233.90857142856112;166.79857142857142;-2.34;36.68285714285713;0.45142857142857107;-4.155714285714282;3471.6085714285728;-8.877142857142857
07149;20130128090000;272.4799999999959;192.51285714285714;-2.34;38.111428571428576;-0.20571428571428596;-5.069999999999993;2185.8942857142865;-9.162857142857142
07168;20130128090000;325.33714285714086;195.37;-2.34;43.82571428571427;0.08000000000000007;-4.698571428571427;2614.465714285714;-9.162857142857142
07181;20130128090000;346.76571428570605;192.51285714285714;-2.34;42.39714285714285;0.15142857142857125;-4.769999999999982;-1671.2485714285704;-9.162857142857142
07190;20130128090000;369.622857142851;191.08428571428573;-2.0542857142857143;43.82571428571427;0.22285714285714242;-4.655714285714282;-385.53428571428594;-9.448571428571428
07207;20130128090000;411.05142857143073;188.22714285714287;-2.0542857142857143;48.111428571428576;0.15142857142857125;-4.484285714285704;-1099.8199999999997;-9.448571428571428
07222;20130128090000;436.76571428570605;178.22714285714287;-2.0542857142857143;39.53999999999999;-0.29142857142857137;-4.96999999999997;-2514.1057142857135;-6.02
07240;20130128090000;459.622857142851;185.37;-2.197142857142857;33.82571428571427;-0.9628571428571431;-4.82714285714286;-6656.962857142857;-5.734285714285714
07255;20130128090000;512.4799999999959;191.08428571428573;-2.34;40.96857142857141;-0.677142857142857;-3.7985714285714494;-5656.962857142857;-5.448571428571428
07280;20130128090000;545.3371428571409;218.22714285714287;-2.4828571428571427;38.111428571428576;-1.4057142857142857;-4.512857142857115;nan;-5.448571428571428
07299;20130128090000;582.4799999999959;226.79857142857142;-2.197142857142857;53.82571428571427;-1.262857142857143;-4.641428571428548;nan;-4.02
07314;20130128090000;598.1942857142858;221.08428571428573;-2.197142857142857;26.68285714285713;-1.4914285714285715;-4.612857142857138;nan;-3.8771428571428572
07335;20130128090000;nan;203.9414285714286;-2.197142857142857;30.96857142857141;-1.705714285714286;-5.112857142857138;nan;-4.162857142857142
07434;20130128090000;nan;212.51285714285714;-1.9114285714285715;30.96857142857141;-1.62;-4.641428571428605;nan;-4.877142857142857
07460;20130128090000;nan;226.79857142857142;-1.6257142857142854;40.96857142857141;-1.2485714285714287;-3.927142857142883;nan;-5.02
07471;20130128090000;nan;226.79857142857142;-1.4828571428571427;35.254285714285714;-1.6914285714285717;-4.527142857142849;nan;nan
07481;20130128090000;nan;213.9414285714286;-1.4828571428571427;46.68285714285713;-0.8914285714285715;-4.884285714285738;nan;nan
07510;20130128090000;nan;209.65571428571428;-1.7685714285714282;9.539999999999992;-0.5914285714285716;-4.512857142857172;nan;nan
07535;20130128090000;nan;216.79857142857142;-1.9114285714285715;50.96857142857141;-0.6628571428571428;-5.170000000000016;nan;nan
07558;20130128090000;nan;233.9414285714286;-1.9114285714285715;42.39714285714285;-0.52;-4.170000000000016;nan;nan
